Col1,Col2,Col3,Col4
WPU_TXLKE001.GenWattsNew,10/19/2019 00:04:20,17,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:04:30,8,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:04:40,73,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:04:50,6,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:05:00,34,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:05:10,25,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:05:20,98,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:05:30,28,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:05:40,71,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:05:50,80,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:06:00,63,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:06:10,3,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:06:20,98,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:06:30,10,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:06:40,45,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:06:50,19,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:07:00,14,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:07:10,35,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:07:20,96,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:07:30,23,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:07:40,67,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:07:50,84,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:08:00,25,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:08:10,19,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:08:20,79,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:08:30,89,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:08:40,64,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:08:50,39,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:09:00,22,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:09:10,13,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:09:20,56,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:09:30,62,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:09:40,73,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:09:50,2,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:10:00,19,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:10:10,36,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:10:20,85,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:10:30,8,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:10:40,63,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:10:50,41,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:11:00,38,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:11:10,53,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:11:20,23,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:11:30,95,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:11:40,31,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:11:50,58,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:12:00,77,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:12:10,24,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:12:20,11,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:12:30,60,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:12:40,10,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:12:50,18,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:13:00,75,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:13:10,42,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:13:20,51,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:13:30,33,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:13:40,83,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:13:50,54,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:14:00,27,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:14:10,44,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:14:20,60,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:14:30,60,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:14:40,6,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:14:50,59,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:15:00,25,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:15:10,2,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:15:20,29,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:15:30,97,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:15:40,91,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:15:50,10,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:16:00,33,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:16:10,6,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:16:20,72,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:16:30,55,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:16:40,84,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:16:50,15,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:17:00,61,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:17:10,29,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:17:20,88,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:17:30,22,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:17:40,12,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:17:50,41,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:18:00,28,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:18:10,61,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:18:20,3,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:18:30,39,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:18:40,87,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:18:50,32,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:19:00,50,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:19:10,85,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:19:20,53,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:19:30,32,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:19:40,81,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:19:50,19,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:20:00,80,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:20:10,78,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:20:20,47,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:20:30,63,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:20:40,70,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:20:50,30,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:21:00,29,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:21:10,80,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:21:20,32,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:21:30,2,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:21:40,27,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:21:50,4,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:22:00,45,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:22:10,20,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:22:20,58,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:22:30,37,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:22:40,71,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:22:50,54,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:23:00,65,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:23:10,5,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:23:20,33,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:23:30,20,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:23:40,33,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:23:50,45,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:24:00,56,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:24:10,86,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:24:20,14,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:24:30,96,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:24:40,47,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:24:50,6,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:25:00,56,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:25:10,2,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:25:20,25,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:25:30,54,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:25:40,74,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:25:50,7,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:26:00,67,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:26:10,98,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:26:20,59,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:26:30,59,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:26:40,93,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:26:50,32,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:27:00,9,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:27:10,26,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:27:20,35,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:27:30,98,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:27:40,93,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:27:50,67,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:28:00,74,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:28:10,14,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:28:20,15,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:28:30,99,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:28:40,66,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:28:50,76,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:29:00,85,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:29:10,61,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:29:20,45,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:29:30,3,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:29:40,8,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:29:50,84,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:30:00,16,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:30:10,32,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:30:20,33,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:30:30,27,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:30:40,46,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:30:50,25,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:31:00,79,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:31:10,91,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:31:20,45,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:31:30,52,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:31:40,70,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:31:50,73,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:32:00,95,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:32:10,7,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:32:20,12,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:32:30,1,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:32:40,12,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:32:50,7,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:33:00,11,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:33:10,57,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:33:20,93,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:33:30,47,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:33:40,23,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:33:50,34,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:34:00,91,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:34:10,57,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:34:20,36,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:34:30,48,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:34:40,68,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:34:50,14,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:35:00,61,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:35:10,64,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:35:20,90,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:35:30,75,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:35:40,43,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:35:50,61,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:36:00,99,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:36:10,81,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:36:20,80,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:36:30,10,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:36:40,20,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:36:50,2,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:37:00,22,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:37:10,23,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:37:20,44,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:37:30,41,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:37:40,5,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:37:50,59,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:38:00,65,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:38:10,85,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:38:20,49,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:38:30,39,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:38:40,92,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:38:50,50,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:39:00,90,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:39:10,68,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:39:20,10,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:39:30,98,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:39:40,35,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:39:50,88,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:40:00,89,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:40:10,32,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:40:20,24,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:40:30,32,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:40:40,90,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:40:50,6,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:41:00,82,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:41:10,21,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:41:20,63,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:41:30,51,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:41:40,2,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:41:50,30,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:42:00,26,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:42:10,2,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:42:20,38,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:42:30,91,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:42:40,25,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:42:50,1,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:43:00,90,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:43:10,51,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:43:20,53,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:43:30,77,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:43:40,82,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:43:50,82,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:44:00,64,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:44:10,23,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:44:20,72,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:44:30,41,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:44:40,84,WPU_TXLKE001.GenWatts01
